DriveID,DriveLabel,Path,Depth,Type,Name,Subdirs,Files,ItemCount,FileTypes,Size,SizeUnit
36957FA5,Mommy,E:\QS_Portland_Oregon9_11_FlatReprocessing\CommercialRGB,2,Folder,CommercialRGB,0,8,8,cpg:1; dbf:1; prj:1; sbn:1; sbx:1; shp:1; xml:1; shx:1,0.4,MB
36957FA5,Mommy,E:\QS_Portland_Oregon9_11_FlatReprocessing\Default.gdb,2,Folder,Default.gdb,0,85,85,atx:24; gdbtable:15; gdbtablx:15; gdbindexes:14; horizon:7; spx:7; noext:2; freelist:1,1.43,MB
36957FA5,Mommy,E:\QS_Portland_Oregon9_11_FlatReprocessing\FlatFootprints,2,Folder,FlatFootprints,0,8,8,cpg:1; dbf:1; prj:1; sbn:1; sbx:1; shp:1; xml:1; shx:1,0.69,MB
36957FA5,Mommy,E:\QS_Portland_Oregon9_11_FlatReprocessing\GpMessages,2,Folder,GpMessages,0,12,12,noext:12,0.0,MB
36957FA5,Mommy,E:\QS_Portland_Oregon9_11_FlatReprocessing\Index,2,Folder,Index,2,0,0,,0.0,MB
36957FA5,Mommy,E:\QS_Portland_Oregon9_11_FlatReprocessing\Index\QS_Portland_Oregon9_11_Score_index,3,Folder,QS_Portland_Oregon9_11_Score_index,0,0,0,,0.0,MB
36957FA5,Mommy,E:\QS_Portland_Oregon9_11_FlatReprocessing\Index\Untitled_index,3,Folder,Untitled_index,0,0,0,,0.0,MB
CE6A70F1,Cell 9,E:\,0,File,Samsung portable SSD SW for Android.txt,,,,,0.0,MB
CE6A70F1,Cell 9,E:\,0,File,SamsungPortableSSD_Setup_Mac_1.0.pkg,,,,,22.83,MB
CE6A70F1,Cell 9,E:\,0,File,SamsungPortableSSD_Setup_Win_1.0.exe,,,,,8.03,MB
CE6A70F1,Cell 9,E:\,0,Folder,E:,7,3,3,txt:1; pkg:1; exe:1,30.87,MB
CE6A70F1,Cell 9,E:\Dronestitute,1,Folder,Dronestitute,56,10,10,url:4; csv:1; xlsx:1; mp4:1; stl:1; obj:1; pdf:1,620.08,MB
